"No.","Time","Source","Destination","Protocol","Length","Info"
"132529","1030","172.22.68.219","239.255.255.250","SSDP","213","M-SEARCH * HTTP/1.1 "
"222611","1122","172.22.68.219","224.0.0.251","MDNS","160","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"222612","1122","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","180","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"222743","1122","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QU"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"222746","1122","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QU"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223183","1122","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223184","1122","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223685","1122","172.22.68.219","224.0.0.251","MDNS","172","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223688","1122","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","192","Standard query 0x0000 ANY 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local, ""QM"" question SRV 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223812","1123","172.22.68.219","224.0.0.251","MDNS","310","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local SRV, cache flush 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local NSEC, cache flush 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local"
"223813","1123","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","330","Standard query response 0x0000 TXT, cache flush PTR _asquic._udp.local PTR 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local SRV, cache flush 0 0 60277 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local NSEC, cache flush 7CF71275-2E08-4B2C-9428-50AE1996C849._asquic._udp.local"
"223977","1123","172.22.68.219","224.0.0.251","MDNS","160","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
"223978","1123","fe80::836:9cff:163f:f5b1","ff02::fb","MDNS","180","Standard query response 0x0000 AAAA, cache flush fe80::836:9cff:163f:f5b1 A, cache flush 172.22.68.219 NSEC, cache flush 3cf9befd-a8dc-429e-9ff4-00dcbd03ef04.local"
